ads_idx,ads_code,adv_idx,sch_idx,ads_type,ads_category,ads_name,ads_limit,ads_payment,ads_save_way,ads_day_cap,ads_sdate,ads_edate,ads_os_type,ads_contract_price,ads_reward_price,ads_order,ads_rejoin_type,regdate
6985,SijDrtH4GV,335,32582,3,7,DB손해보험 다이렉트,"자동차보험 만기 90일 이내,본인명의 차량 소유자,DB손해보험 자동차보험 기가입자제외, 10개월 이내 참여자제외",,내차 보험료 조회,N,2020-06-30 15:00:00,9999-06-06 00:00:00,7,2700,2300,1201938,NONE,2020-06-30 15:22:59
8327,k1RZftVHoW,335,36397,3,10,파일썬,,10000원 이상,첫 결제,N,2020-11-10 11:21:00,9999-12-31 23:59:00,7,3200,2420,1673458,NONE,2020-11-10 11:21:43
9935,aKbPNZGRcw,778,40252,3,8,숨어있는 휴면포인트 조회,,,포인트로 영화예매권 교환,N,2021-02-01 10:00:00,9999-12-31 00:00:00,7,1500,1200,2592600,NONE,2021-02-01 10:21:48
9982,ChpB9DGeNo,50,334923,11,3,강원일보 네이버 뉴스,20대 이상 참여 가능,,네이버 뉴스 구독,N,2021-02-05 14:00:00,2030-01-01 00:00:00,7,230,160,2729900,NONE,2021-02-05 14:56:37
10743,GzVAg5ZVo2,850,48201,12,11,스치듯 로얄리스트 고체향수 15g,,15000,구매,N,2021-04-08 15:00:00,9999-12-31 00:00:00,7,4909,3140,1253061,REJOINABLE,2021-04-08 14:42:33
10745,8yWW5feQcV,850,47755,12,11,스치듯 포레스트 고체향수 15g,,15000,구매,N,2021-04-08 15:00:00,9999-12-31 00:00:00,7,4909,3140,1253306,REJOINABLE,2021-04-08 14:43:35
10758,04jagQJ6qv,850,50518,12,11,날엔퍼퓸 날엔세트 (코튼+우드 SET),,69000,구매,N,2021-04-08 15:00:00,9999-09-14 00:00:00,7,25091,16300,1162445,REJOINABLE,2021-04-08 15:11:57
11059,2vK6pADbON,50,332757,3,5,파이널삼국지2,,,캐릭터 생성,Y,2021-05-03 17:00:00,2027-01-01 00:00:00,2,300,200,2097400,NONE,2021-05-03 17:23:00
11442,RoPyXNtRjb,866,1211218,3,3,[친한친구] 베지밀 공식 인스타그램,,,팔로우 후 친한 친구 리스트 추가,N,2021-06-18 00:00:00,2025-08-19 00:00:00,7,280,120,2760000,NONE,2021-06-08 14:04:47
12923,XRQXoMhyrC,274,1206714,3,8,짤 – 시즌2,,,회원가입 후 로그인,N,2021-09-13 14:00:00,2025-09-01 00:00:00,2,600,350,2728500,NONE,2021-09-13 14:46:07
13209,VgaaRgCQoO,50,524339,3,8,아이부자,,,최초 회원가입,N,2021-10-01 17:00:00,2029-11-29 00:00:00,2,1900,1425,2496600,NONE,2021-10-01 17:29:29
13927,IHk8VZoQLb,50,53400,1,1,다톡_실시간 동네친구 채팅,,,받기,N,2021-11-12 10:07:41,9999-12-31 23:59:59,1,170,140,2756500,NONE,2021-11-12 10:07:41
